DI	UT
10.1016/S0927-0256(02)00437-8	WOS:000181656700023
10.1016/S0927-7757(01)00669-0	WOS:000170713500012
10.1016/S0927-7757(02)00508-3	WOS:000181004400004
10.1016/S0927-7757(02)00520-4	WOS:000181004400016
10.1016/S0927-7757(02)00563-0	WOS:000183762100011
10.1016/S0928-4931(01)00476-3	WOS:000173080700033
10.1016/S0955-2219(01)00127-3	WOS:000170430000124
10.1016/S0955-2219(01)00131-5	WOS:000170430000128
10.1016/S0955-2219(01)00346-6	WOS:000172316400020
10.1016/S0955-2219(01)00439-3	WOS:000175329300013
10.1016/S0956-5663(01)00182-8	WOS:000173263200004
10.1016/S0956-5663(01)00279-2	WOS:000173263200011
10.1016/S0956-5663(02)00155-0	WOS:000181470300012
10.1016/S0956-5663(02)00178-1	WOS:000180846500017
10.1016/S0956-5663(03)00045-9	WOS:000182790500041
10.1016/S0960-894X(02)00087-2	WOS:000174996800010
10.1016/S0966-9795(02)00062-6	WOS:000180271800001
10.1016/S0966-9795(03)00149-3	WOS:000186687100006
10.1016/S0969-8043(01)00064-1	WOS:000170322700005
10.1016/S0969-8043(01)00156-7	WOS:000174057600006
10.1016/S0969-8043(02)00226-9	WOS:000180636100011
10.1016/S0969-8043(03)00199-4	WOS:000186828900008
10.1016/S0969-8051(02)00453-5	WOS:000183239300005
10.1016/S0969-8051(03)00053-2	WOS:000184723200011
10.1016/S1053-8119(03)00241-6	WOS:000185079000045
10.1016/S1053-8119(03)00302-1	WOS:000185746400006
10.1016/S1074-7427(03)00076-5	WOS:000185841000006
10.1016/S1076-5670(08)01011-2	WOS:000261946100011
10.1016/S1097-2765(04)00004-8	WOS:000188797700003
10.1016/S1352-2310(00)00502-1	WOS:000168287300003
10.1016/S1359-0286(00)00046-2	WOS:000169783300015
10.1016/S1359-6454(02)00016-2	WOS:000175327600006
10.1016/S1359-6454(02)00471-8	WOS:000180991300018
10.1016/S1359-6454(03)00030-2	WOS:000182928900003
10.1016/S1359-6462(00)00654-0	WOS:000168084200018
10.1016/S1359-6462(03)00167-2	WOS:000182953500005
10.1016/S1364-6613(00)01568-0	WOS:000166709800015
10.1016/S1369-703X(00)00117-0	WOS:000167219500014
10.1016/S1369-8001(00)00059-7	WOS:000166559200010
10.1016/S1369-8001(00)00063-9	WOS:000166559200013
10.1016/S1369-8001(00)00134-7	WOS:000167727200043
10.1016/S1381-1177(03)00071-7	WOS:000185391400005
10.1016/S1386-9477(02)00585-4	WOS:000180775500019
10.1016/S1387-3806(02)00731-5	WOS:000177479400006
10.1016/S1387-3806(03)00270-7	WOS:000184727800005
10.1016/S1388-2481(01)00108-4	WOS:000166877100006
10.1016/S1388-2481(02)00364-8	WOS:000177848800011
10.1016/S1388-2481(02)00466-6	WOS:000179348900001
10.1016/S1388-2481(02)00494-0	WOS:000179716200001
10.1016/S1388-2481(03)00115-2	WOS:000184121200002
10.1016/S1389-0344(02)00003-5	WOS:000177229100002
10.1016/S1463-0184(02)00012-6	WOS:000179557800002
10.1016/S1570-0232(02)00731-6	WOS:000181406500006
10.1017/S0022377806005745	WOS:000243673400076
10.1017/S0033291709992376	WOS:000283799300011
10.1017/S0952523801184026	WOS:000173202800002
10.1017/S1431927604040024	WOS:000220475400004
10.1017/S1431927604040395	WOS:000220475400003
10.1017/S1431927605050543	WOS:000233550900006
10.1021/ac203112c	WOS:000302829800021
10.1021/bi001514d	WOS:000165214100002
10.1021/bi010808b	WOS:000170731900038
10.1021/bi011355d	WOS:000172244500013
10.1021/bm020041i	WOS:000177963100020
10.1021/bm025530x	WOS:000175636600031
10.1021/bm3006159	WOS:000307422300020
10.1021/bp000164j	WOS:000169163400016
10.1021/bp990296g	WOS:000169163400017
10.1021/cg2016337	WOS:000301098700071
10.1021/cm0111837	WOS:000174534800027
10.1021/cm011252h	WOS:000175790100048
10.1021/cn100057j	WOS:000281891700007
10.1021/cr020715f	WOS:000224539700012
10.1021/es0206386	WOS:000183973700023
10.1021/es0300057	WOS:000183242300067
10.1021/es035061m	WOS:000221502800028
10.1021/es040069x	WOS:000226712600030
10.1021/es040548w	WOS:000222051400011
10.1021/es800577a	WOS:000258883300019
10.1021/es900518z	WOS:000269258000012
10.1021/ic201682s	WOS:000298712000003
10.1021/ic202644t	WOS:000303952900032
10.1021/ic300042q	WOS:000301007100006
10.1021/ie100726b	WOS:000282161700042
10.1021/ja0026612	WOS:000165866400006
10.1021/ja0122142	WOS:000174191400002
10.1021/ja026585+	WOS:000179661000040
10.1021/ja0271476	WOS:000178514700013
10.1021/ja103725c	WOS:000282304000055
10.1021/ja104332t	WOS:000281296700015
10.1021/ja204624g	WOS:000296678200031
10.1021/ja300527w	WOS:000302490000042
10.1021/ja3028845	WOS:000307699000025
10.1021/ja303894g	WOS:000307487200007
10.1021/jm020167y	WOS:000178466600014
10.1021/jm200762g	WOS:000297946300011
10.1021/jo0010274	WOS:000165752000026
10.1021/jo0264729	WOS:000180834600017
10.1021/jp003182s	WOS:000168442100041
10.1021/jp013811d	WOS:000174403200032
10.1021/jp020209u	WOS:000178548600008
10.1021/jp0738053	WOS:000251615500008
10.1021/jp208670v	WOS:000299584800045
10.1021/jp209458a	WOS:000298978700113
10.1021/jp2108768	WOS:000301169300004
10.1021/jp210946y	WOS:000305444100029
10.1021/jp300459p	WOS:000305355900014
10.1021/jp304980e	WOS:000307494500031
10.1021/la000534d	WOS:000165267300053
10.1021/la0013805	WOS:000167762700007
10.1021/la001552y	WOS:000168100700025
10.1021/la010646k	WOS:000173341200002
10.1021/la0114373	WOS:000174403000042
10.1021/la011596m	WOS:000174978000053
10.1021/la0157420	WOS:000175500300044
10.1021/la0255673	WOS:000176903500039
10.1021/la025568v	WOS:000175801600016
10.1021/la025585k	WOS:000175801600024
10.1021/la025596d	WOS:000177738700018
10.1021/la0256533	WOS:000177224400044
10.1021/la025952s	WOS:000178300200021
10.1021/la0475831	WOS:000226962100046
10.1021/la051856q	WOS:000236009900033
10.1021/la1005242	WOS:000279239900087
10.1021/la302245x	WOS:000308787700028
10.1021/la302307m	WOS:000309199900009
10.1021/la302500r	WOS:000308787700032
10.1021/la701516s	WOS:000250976700016
10.1021/la8041023	WOS:000266081000048
10.1021/la9915421	WOS:000165477900016
10.1021/la991680q	WOS:000166519100003
10.1021/ma0002545	WOS:000167372100028
10.1021/ma000670p	WOS:000166858700053
10.1021/ma001015k	WOS:000167372100034
10.1021/ma0014259	WOS:000167615600022
10.1021/ma001608v	WOS:000170152200013
10.1021/ma001628x	WOS:000167136000025
10.1021/ma0016883	WOS:000172779300052
10.1021/ma001918d	WOS:000170152200039
10.1021/ma010233q	WOS:000169564100036
10.1021/ma010379p	WOS:000173023200033
10.1021/ma010697o	WOS:000171981500035
10.1021/ma0111818	WOS:000173478200039
10.1021/ma011416f	WOS:000173229600025
10.1021/ma011923x	WOS:000177368900024
10.1021/ma0120207	WOS:000175728100035
10.1021/ma0121565	WOS:000176535600018
10.1021/ma0204047	WOS:000177688800044
10.1021/ma025659z	WOS:000180089100031
10.1021/ma035633n	WOS:000225932900048
10.1021/ma0493574	WOS:000225056800025
10.1021/ma1004925	WOS:000282478500042
10.1021/ma2014639	WOS:000298905000056
10.1021/ma2016634	WOS:000298905000057
10.1021/ma2019123	WOS:000300757000034
10.1021/ma301510j	WOS:000307988500018
10.1021/ma8020294	WOS:000263429700030
10.1021/ma902820a	WOS:000275711300049
10.1021/nl070954o	WOS:000247926400058
10.1021/nl0715802	WOS:000251059800016
10.1021/ol017223u	WOS:000173885800038
10.1021/ol900169f	WOS:000269989100005
10.1021/op020023t	WOS:000177032500019
10.1021/op034122y	WOS:000220389200008
10.1021/pr100802f	WOS:000284856200048
10.1023/A:1004849322160	WOS:000166422700019
10.1023/A:1005909328924	WOS:000077991200010
10.1023/A:1009929519603	WOS:000081842500005
10.1023/A:1010678609413	WOS:000170285300004
10.1023/A:1010771123844	WOS:000167943500004
10.1023/A:1010789715871	WOS:000168190200003
10.1023/A:1011389506519	WOS:000169542000011
10.1023/A:1012070900742	WOS:000172422400003
10.1023/A:1012268825876	WOS:000172296400027
10.1023/A:1012594406053	WOS:000172012400026
10.1023/A:1012842000311	WOS:000172493000008
10.1023/A:1014209711793	WOS:000173991600007
10.1023/A:1014228824104	WOS:000173988100003
10.1023/A:1014290531357	WOS:000173991600008
10.1023/A:1014296124514	WOS:000173991600011
10.1023/A:1015512607352	WOS:000175752100002
10.1023/A:1015707531660	WOS:000175947400016
10.1023/A:1015708211775	WOS:000175947400013
10.1023/A:1015708517705	WOS:000175947400015
10.1023/A:1015709214016	WOS:000175947400020
10.1023/A:1015711116639	WOS:000175947400009
10.1023/A:1015732532499	WOS:000175947400014
10.1023/A:1015741304337	WOS:000175947100008
10.1023/A:1015757129946	WOS:000175947400008
10.1023/A:1015768113592	WOS:000175947400011
10.1023/A:1015793319095	WOS:000175947400012
10.1023/A:1016105030624	WOS:000176760900003
10.1023/A:1016325527709	WOS:000176868300002
10.1023/A:1016563123018	WOS:000177008600017
10.1023/A:1020360505111	WOS:000178252100007
10.1023/A:1020398622545	WOS:000178237600005
10.1023/A:1020815220597	WOS:000179486600022
10.1023/A:1020837805332	WOS:000178932500005
10.1023/A:1021174619613	WOS:000178646900017
10.1023/A:1021665300233	WOS:000179916000001
10.1023/A:1023040010859	WOS:000182551100005
10.1023/A:1023486402224	WOS:000184105900007
10.1023/A:1023819807616	WOS:000183041600004
10.1023/A:1026151725719	WOS:000185962400032
10.1023/A:1026185811181	WOS:000185962400006
10.1023/A:1026199608881	WOS:000185962400031
10.1023/A:1026483521802	WOS:000165958100035
10.1023/B:JECR.0000011217.93927.1a	WOS:000187928000005
10.1023/B:JOCH.0000034509.11746.b8	WOS:000222603900001
10.1024/1016-264X/a000057	WOS:000301809500002
10.1029/2000GL012502	WOS:000167714000007
10.1029/2000JD000113	WOS:000178977400017
10.1029/2000JD000114	WOS:000180331300003
10.1029/2000JD000136	WOS:000180427400006
10.1029/2000WR000110	WOS:000173283000002
10.1029/2001JD000456	WOS:000180466200092
10.1029/2001JD000463	WOS:000180466200080
10.1029/2001JD000482	WOS:000180371300001
10.1029/2001JD000557	WOS:000180428300060
10.1029/2001JD000577	WOS:000180490000004
10.1029/2001JD000579	WOS:000181797900001
10.1029/2001JD000629	WOS:000180490000006
10.1029/2001JD000656	WOS:000181827100001
10.1029/2001JD000667	WOS:000180490000011
10.1029/2001JD000692	WOS:000180490000012
10.1029/2001JD000698	WOS:000180490000001
10.1029/2001JD000699	WOS:000180490000005
10.1029/2001JD000700	WOS:000180490000003
10.1029/2001JD000793	WOS:000178896500003
10.1029/2001JD000866	WOS:000182897800001
10.1029/2001JD000881	WOS:000181262000001
10.1029/2001JD001014	WOS:000181937100001
10.1029/2001JD001096	WOS:000182897800002
10.1029/2001JD001156	WOS:000180427200010
10.1029/2001JD001246	WOS:000180490000010
10.1029/2001JD001255	WOS:000181797900002
10.1029/2001JD001303	WOS:000180466200105
10.1029/2001JD001343	WOS:000181253700007
10.1029/2001JD001385	WOS:000181253700008
10.1029/2001JD001393	WOS:000181500200001
10.1029/2001JD001423	WOS:000180870100011
10.1029/2001JD001494	WOS:000182068900001
10.1029/2001JD002029	WOS:000182897800004
10.1029/2001JD00876	WOS:000181500600001
10.1029/2001JD900142	WOS:000180427400007
10.1029/2001WR900009	WOS:000169489200005
10.1029/2002JD001561	WOS:000183744400001
10.1029/2002JD002166	WOS:000181797400001
10.1029/2002JD002208	WOS:000181937100004
10.1029/2002JD002213	WOS:000181823400003
10.1029/2002JD002415	WOS:000181113600008
10.1029/2002JD002564	WOS:000186941100001
10.1029/2002JD002797	WOS:000184868600001
10.1029/2002JD002800	WOS:000182874800002
10.1029/2002JD002883	WOS:000184002900002
10.1029/2002JD002891	WOS:000184604300001
10.1029/2002JD002932	WOS:000183555600001
10.1029/2007GL031459	WOS:000251059200003
10.1029/2007WR006755	WOS:000261690900003
10.1029/2008GL035389	WOS:000259199900008
10.1029/2008JD011374	WOS:000266363500003
10.1029/2009JD011840	WOS:000269350200005
10.1029/2009JD011953	WOS:000275857900001
10.1029/2009JD012618	WOS:000278453500003
10.1029/2009JD012626	WOS:000278453500004
10.1029/2009JD012628	WOS:000278453500005
10.1029/2009JD012714	WOS:000285585200003
10.1029/2009JD012731	WOS:000280328800001
10.1029/2009JD013115	WOS:000282321400002
10.1029/2010GB003869	WOS:000291101100002
10.1029/2010JD014401	WOS:000283546500007
10.1029/2010WR010214	WOS:000299702100001
10.1029/2011GL047189	WOS:000291812900001
10.1029/2011JD016386	WOS:000301670300002
10.1029/2011JD017008	WOS:000300231600001
10.1029/2011JD017134	WOS:000302876800002
10.1029/2012GL052659	WOS:000307742200007
10.1029/2012JD017751	WOS:000308071900003
10.1038/35094565	WOS:000171454000017
10.1038/416301a	WOS:000174482200036
10.1038/417506a	WOS:000175860300031
10.1038/4641134a	WOS:000276891100022
10.1038/84032	WOS:000167178100019
10.1038/84909	WOS:000167180300005
10.1038/ejhg.2011.160	WOS:000299323000024
10.1038/emboj.2012.30	WOS:000302636100006
10.1038/jcbfm.2009.36	WOS:000266451700016
10.1038/jcbfm.2010.65	WOS:000280561900013
10.1038/mp.2010.67	WOS:000290851800004
10.1038/mp.2011.80	WOS:000308063900007
10.1038/mp.2011.94	WOS:000299014000002
10.1038/nature01109	WOS:000178348400038
10.1038/nature09492	WOS:000284584200040
10.1038/ncomms1989	WOS:000308801100008
10.1038/ng.2237	WOS:000303416300015
10.1038/ng.2250	WOS:000303416300016
10.1038/ng.2360	WOS:000308491200005
10.1038/ng.943	WOS:000295316200012
10.1038/nmat1067	WOS:000188668200010
10.1038/nmat3307	WOS:000304320300020
10.1038/NMAT3307	WOS:000304320300020
10.1038/nnano.2010.44	WOS:000278264300015
10.1038/NNANO.2010.44	WOS:000278264300015
10.1038/nphys2232	WOS:000302557600021
10.1038/NPHYS2232	WOS:000302557600021
10.1038/NPHYS2299	WOS:000304667500018
10.1038/nphys2299	WOS:000305042300003
10.1038/nprot.2011.449	WOS:000300402300015
10.1038/nsb739	WOS:000173428500012
10.1038/sj.embor.7400266	WOS:000224250900003
10.1038/tp.2012.30	WOS:000306218400006
10.1038/tp.2012.51	WOS:000306220500001
10.1039/b005566m	WOS:000166812900005
10.1039/b006745h	WOS:000167327300026
10.1039/b007448i	WOS:000166171000025
10.1039/b007903k	WOS:000166644100004
10.1039/b008519g	WOS:000169497700011
10.1039/b100341k	WOS:000167727800001
10.1039/b103178n	WOS:000172191500007
10.1039/b110420a	WOS:000174220200048
10.1039/b110642m	WOS:000177283000003
10.1039/b111103e	WOS:000176246700017
10.1039/b200502f	WOS:000176246700044
10.1039/b200780k	WOS:000177254600015
10.1039/b203060h	WOS:000176907400029
10.1039/b204444g	WOS:000177918300001
10.1039/b205039k	WOS:000180338300013
10.1039/b205720b	WOS:000178053400001
10.1039/b302696e	WOS:000183914900020
10.1039/b303621a	WOS:000184843700027
10.1039/b306446h	WOS:000186367900003
10.1039/b315788a	WOS:000220529600006
10.1039/b410923f	WOS:000225406800006
10.1039/b410998h	WOS:000224755600002
10.1039/b618635c	WOS:000267272600013
10.1039/b713465g	WOS:000253492400019
10.1039/b809850f	WOS:000277035200022
10.1039/b821250c	WOS:000264524300004
10.1039/c003875j	WOS:000277564000006
10.1039/c0cp00066c	WOS:000282972400025
10.1039/c0cp01048k	WOS:000281352300003
10.1039/C0CP01048K	WOS:000281352300003
10.1039/c0ja00055h	WOS:000283150100011
10.1039/c0sm00637h	WOS:000284313700006
10.1039/c1nj20472f	WOS:000299749300030
10.1039/C1NJ20472F	WOS:000299749300030
10.1039/c1sm06242e	WOS:000298990600019
10.1039/C1SM06242E	WOS:000298990600019
10.1039/c1sm06533e	WOS:000301793700028
10.1039/C1SM06533E	WOS:000301793700028
10.1039/c1sm06735d	WOS:000298990600040
10.1039/c1sm06809a	WOS:000301793700005
10.1039/C1SM06809A	WOS:000301793700005
10.1039/c2cc17591f	WOS:000300047400009
10.1039/c2cc34967a	WOS:000308414500015
10.1039/c2cp23328b	WOS:000299742000026
10.1039/c2cp23460b	WOS:000299505400046
10.1039/c2cp40553a	WOS:000305890300025
10.1039/C2CP40553A	WOS:000305890300025
10.1039/c2cp41183k	WOS:000305965200010
10.1039/C2CP41183K	WOS:000305965200010
10.1039/c2cp41231d	WOS:000308101100008
10.1039/C2CP41231D	WOS:000308101100008
10.1039/C2CP42434G	WOS:000309140400027
10.1039/c2cy20120h	WOS:000306229800011
10.1039/C2CY20120H	WOS:000306229800011
10.1039/c2dt11055e	WOS:000302023800030
10.1039/C2DT11055E	WOS:000302023800030
10.1039/c2dt30319a	WOS:000304487400010
10.1039/C2DT30319A	WOS:000304487400010
10.1039/c2dt30501a	WOS:000307018900012
10.1039/C2DT30501A	WOS:000307018900012
10.1039/c2dt30502j	WOS:000307018900006
10.1039/C2DT30502J	WOS:000307018900006
10.1039/c2ee02619h	WOS:000303251500049
10.1039/C2EE02619H	WOS:000303251500049
10.1039/c2jm00154c	WOS:000306215900066
10.1039/c2lc40156h	WOS:000304247900020
10.1039/c2mt00002d	WOS:000303501500002
10.1039/C2MT00002D	WOS:000303501500002
10.1039/c2mt00166g	WOS:000300886700007
10.1039/c2nr30413a	WOS:000303604000006
10.1039/C2NR30413A	WOS:000303604000006
10.1039/c2ob25787d	WOS:000305764600017
10.1039/C2OB25787D	WOS:000305764600017
10.1039/c2ra20214j	WOS:000304148400054
10.1039/c2sm07009j	WOS:000301801100011
10.1039/C2SM07009J	WOS:000301801100011
10.1039/c2sm07378a	WOS:000302030200010
10.1039/C2SM07378A	WOS:000302030200010
10.1039/c2sm07458c	WOS:000304100900020
10.1039/c2sm25569c	WOS:000306276300011
10.1039/c2sm25665g	WOS:000305481000021
10.1039/C2SM25665G	WOS:000305481000021
10.1046/j.0016-8025.2003.01068.x	WOS:000185085100004
10.1046/j.0953-816x.2001.01472.x	WOS:000167615400013
10.1046/j.0953-816x.2001.01527.x	WOS:000168560600018
10.1046/j.1365-2389.2002.00437.x	WOS:000176170000007
10.1046/j.1365-3040.2002.00854.x	WOS:000175386300006
10.1046/j.1432-1033.2002.03005.x	WOS:000176523900020
10.1046/j.1432-1327.2001.02128.x	WOS:000168255900026
10.1046/j.1460-9568.2001.01385.x	WOS:000167050300021
10.1046/j.1460-9568.2002.02048.x	WOS:000177199900002
10.1046/j.1460-9568.2002.02053.x	WOS:000177199900013
10.1046/j.1460-9568.2002.02272.x	WOS:000179772900019
10.1046/j.1462-2920.2001.00225.x	WOS:000171846300001
10.1046/j.1469-8137.2001.00014.x	WOS:000166890800017
10.1049/e1:20083017	WOS:000262270900027
10.1049/el:20010926	WOS:000171943100033
10.1049/el:20011007	WOS:000172687000034
10.1049/el:20052665	WOS:000232469300032
10.1049/el:20062222	WOS:000248317300028
10.1049/ip-cds:20030636	WOS:000186033600010
10.1051/0004-6361/201118019	WOS:000306597200126
10.1051/jp4:20020322	WOS:000178801200005
10.1051/jp4:20020327	WOS:000178801200010
10.1051/jp4:20020514	WOS:000180683300048
10.1053/jhep.2003.50477	WOS:000186390800017
10.1055/s-0029-1242761	WOS:000273771000007
10.1055/s-0029-1245149	WOS:000274415100001
10.1055/s-0029-1245259	WOS:000276893300008
10.1055/s-0029-1245403	WOS:000280210400005
10.1055/s-0029-1245696	WOS:000282144000015
10.1055/s-0029-1245780	WOS:000286562900018
10.1055/s-0029-1245862	WOS:000285527900007
10.1055/s-0031-1281642	WOS:000300753900012
10.1055/s-0031-1281851	WOS:000299650200015
10.1055/s-0031-1287818	WOS:000302386700016
10.1055/s-0031-1299082	WOS:000299650200013
10.1055/s-2001-13393	WOS:000168626000024
10.1055/s-2003-44691	WOS:000188798700008
10.1055/s-2004-817828	WOS:000220875000011
10.1055/s-2004-834706	WOS:000234210300006
10.1055/s-2005-873008	WOS:000235078600016
10.1055/s-2008-1038211	WOS:000258503900001
10.1059/2003GL018079	WOS:000187482000001
10.1063/1.1309001	WOS:000166141600019
10.1063/1.1311804	WOS:000165330000001
10.1063/1.1318245	WOS:000166141600046
10.1063/1.1319611	WOS:000166141600165
10.1063/1.1319864	WOS:000166141600004
10.1063/1.1322382	WOS:000165068700072
10.1063/1.1328412	WOS:000166182900051
10.1063/1.1330770	WOS:000166118900029
10.1063/1.1337089	WOS:000166688300058
10.1063/1.1341219	WOS:000166477300031
10.1063/1.1343074	WOS:000166713100048
10.1063/1.1348032	WOS:000167044400049
10.1063/1.1351056	WOS:000167610900050
10.1063/1.1352643	WOS:000168440400029
10.1063/1.1352669	WOS:000167436300009
10.1063/1.1357214	WOS:000167436300030
10.1063/1.1357232	WOS:000167709500010
10.1063/1.1364513	WOS:000168188500052
10.1063/1.1365256	WOS:000169151700086
10.1063/1.1370075	WOS:000168998000058
10.1063/1.1370393	WOS:000168998000044
10.1063/1.1370558	WOS:000168864200008
10.1063/1.1371954	WOS:000168862800019
10.1063/1.1372510	WOS:000168998000055
10.1063/1.1380403	WOS:000169340000026
10.1063/1.1380428	WOS:000169660700060
10.1063/1.1381042	WOS:000169340000041
10.1063/1.1381558	WOS:000169868300018
10.1063/1.1388173	WOS:000170223200052
10.1063/1.1389335	WOS:000170593900072
10.1063/1.1390318	WOS:000170223100041
10.1063/1.1392956	WOS:000170647500035
10.1063/1.1394206	WOS:000170991200041
10.1063/1.1395518	WOS:000171594400055
10.1063/1.1398300	WOS:000171013700033
10.1063/1.1402965	WOS:000171135900032
10.1063/1.1406969	WOS:000171594800045
10.1063/1.1407317	WOS:000171918700022
10.1063/1.1408906	WOS:000171726300005
10.1063/1.1413488	WOS:000172129200057
10.1063/1.1413742	WOS:000171999600025
10.1063/1.1421105	WOS:000172683200028
10.1063/1.1421219	WOS:000173418500088
10.1063/1.1423323	WOS:000172784700051
10.1063/1.1424465	WOS:000172489100030
10.1063/1.1427406	WOS:000173553800079
10.1063/1.1434314	WOS:000173153800051
10.1063/1.1435067	WOS:000173278400064
10.1063/1.1446035	WOS:000173853600005
10.1063/1.1448404	WOS:000174182400070
10.1063/1.1450122	WOS:000173618900004
10.1063/1.1452783	WOS:000174009800037
10.1063/1.1455135	WOS:000174634100021
10.1063/1.1456548	WOS:000174181400051
10.1063/1.1458071	WOS:000174623300011
10.1063/1.1459486	WOS:000174498700036
10.1063/1.1463202	WOS:000174498700028
10.1063/1.1466834	WOS:000175068800043
10.1063/1.1481773	WOS:000176314800057
10.1063/1.1483121	WOS:000175771800030
10.1063/1.1484379	WOS:000176600500036
10.1063/1.1485729	WOS:000176600500039
10.1063/1.1488581	WOS:000176874200062
10.1063/1.1491888	WOS:000177351100041
10.1063/1.1492797	WOS:000177042800041
10.1063/1.1493771	WOS:000177351100059
10.1063/1.1493775	WOS:000177202300034
10.1063/1.1493794	WOS:000177009000002
10.1063/1.1497466	WOS:000177683000045
10.1063/1.1498151	WOS:000177351600003
10.1063/1.1498820	WOS:000177574400041
10.1063/1.1499229	WOS:000177284400037
10.1063/1.1500413	WOS:000177284400046
10.1063/1.1502018	WOS:000178257400009
10.1063/1.1502242	WOS:000178317300044
10.1063/1.1503336	WOS:000177825500034
10.1063/1.1505023	WOS:000178256100055
10.1063/1.1505106	WOS:000178257400010
10.1063/1.1505813	WOS:000181202400039
10.1063/1.1505862	WOS:000178256100047
10.1063/1.1506404	WOS:000177864400024
10.1063/1.1508419	WOS:000178037600030
10.1063/1.1516844	WOS:000179495100047
10.1063/1.1516875	WOS:000178881800013
10.1063/1.1519958	WOS:000179495100103
10.1063/1.1521584	WOS:000179042200053
10.1063/1.1522475	WOS:000179495100036
10.1063/1.1522821	WOS:000180687600017
10.1063/1.1526926	WOS:000179481900033
10.1063/1.1528912	WOS:000180316700053
10.1063/1.1530730	WOS:000179731000021
10.1063/1.1534412	WOS:000180160800045
10.1063/1.1537247	WOS:000180564800052
10.1063/1.1542928	WOS:000180687600029
10.1063/1.1562192	WOS:000182157700050
10.1063/1.1568081	WOS:000182794300024
10.1063/1.1576902	WOS:000183642900026
10.1063/1.1582835	WOS:000184103000053
10.1063/1.1592300	WOS:000184469800096
10.1063/1.1611475	WOS:000185865500051
10.1063/1.1613963	WOS:000185989400022
10.1063/1.1621731	WOS:000185954400042
10.1063/1.1621854	WOS:000186492900050
10.1063/1.1629141	WOS:000186662000035
10.1063/1.1633027	WOS:000187181400039
10.1063/1.1648305	WOS:000220225000018
10.1063/1.2141928	WOS:000234214600010
10.1063/1.2222087	WOS:000241722800113
10.1063/1.2349473	WOS:000240876600037
10.1063/1.3123258	WOS:000265823300034
10.1063/1.3133351	WOS:000266500400036
10.1063/1.3141984	WOS:000266500200050
10.1063/1.3306397	WOS:000274319900028
10.1063/1.3436614	WOS:000280143200002
10.1063/1.3447384	WOS:000280596900044
10.1063/1.3457386	WOS:000279707800024
10.1063/1.3613640	WOS:000293477300058
10.1063/1.3636928	WOS:000302239800400
10.1063/1.3665923	WOS:000298539900040
10.1063/1.3671415	WOS:000303282401047
10.1063/1.3671674	WOS:000298639800078
10.1063/1.3672447	WOS:000299127200116
10.1063/1.3673239	WOS:000299127200100
10.1063/1.3673442	WOS:000298967200040
10.1063/1.3673909	WOS:000298966200091
10.1063/1.3675607	WOS:000299126400048
10.1063/1.3675872	WOS:000299126800044
10.1063/1.3678639	WOS:000300064500034
10.1063/1.3679139	WOS:000300065300027
10.1063/1.3681444	WOS:000301566600027
10.1063/1.3686137	WOS:000301729200073
10.1063/1.3687168	WOS:000300944000008
10.1063/1.3689322	WOS:000301664600036
10.1063/1.3692175	WOS:000301655500088
10.1063/1.3693763	WOS:000302216200027
10.1063/1.3694990	WOS:000302227700031
10.1063/1.3696684	WOS:000302216200048
10.1063/1.3701265	WOS:000302596500050
10.1063/1.4714616	WOS:000304831100022
10.1063/1.4714768	WOS:000304265000107
10.1063/1.4720069	WOS:000304818400046
10.1063/1.4722940	WOS:000304823800049
10.1063/1.4723570	WOS:000304823800017
10.1063/1.4723685	WOS:000304818400040
10.1063/1.4732806	WOS:000307527900063
10.1063/1.4736558	WOS:000306513400157
10.1063/1.4736562	WOS:000307611500038
10.1063/1.4736718	WOS:000307422800049
10.1063/1.4739765	WOS:000307422800044
10.1063/1.4742326	WOS:000307862400032
10.1063/1.4745024	WOS:000308335400117
10.1063/1.4747200	WOS:000308420800040
10.1071/FP03008	WOS:000184873500001
10.1071/FP04082	WOS:000225301200005
10.1071/FP10156	WOS:000286773600005
10.1071/FP11255	WOS:000299052100001
10.1071/PP01255	WOS:000179392100001
10.1073/pnas.0403857102	WOS:000226102700063
10.1073/pnas.0503388102	WOS:000233849000021
10.1073/pnas.0801706105	WOS:000255921200023
10.1073/pnas.101118098	WOS:000168623300100
10.1074/jbc.C100683200	WOS:000173989200005
10.1074/jbc.M009667200	WOS:000168198600013
10.1074/jbc.M109.095570	WOS:000278133400028
10.1074/jbc.M109240200	WOS:000173813900100
10.1074/jbc.M111.304279	WOS:000300638000058
10.1074/jbc.M111.316729	WOS:000304030900020
10.1074/jbc.M204338200	WOS:000180177700021
10.1074/jbc.M210499200	WOS:000180869700102
10.1074/jbc.M210699200	WOS:000184155700102
10.1074/jbc.M307988200	WOS:000185847200053
10.1074/jbc.M511826200	WOS:000235128200070
10.1074/jbc.M704127200	WOS:000251458300010
10.1074/jbc.M908728199	WOS:000165382000043
10.1080/00150190210989	WOS:000176861100033
10.1080/00150190211044	WOS:000176861500025
10.1080/00268970110109880	WOS:000177615400003
10.1080/00268970210125359	WOS:000177615300009
10.1080/00908310490441999	WOS:000224427500001
10.1080/01411590290022996	WOS:000176068800013
10.1080/01411590290023058	WOS:000176068800019
10.1080/0141159029002987	WOS:000176068800012
10.1080/01411590500288692	WOS:000233909200004
10.1080/01411590500289229	WOS:000233909200018
10.1080/0141861031000071980	WOS:000181849900001
